art_nr|art_uvp
BGS10523|77,63
BGS10524|26,39
BGS10525|20,70
BGS10525|20,70
BGS10525|20,70
BGS10527|25,88
BGS10528|37,78
BGS10528|37,78
BGS10529|36,23
BGS10529|36,23
BGS10530|25,88
BGS10531|41,40
BGS10532|19,67
BGS10533|57,96
BGS10534|29,50
BGS10534|29,50
BGS10535|22,25
BGS10535|22,25
BGS10536|24,32
BGS10538|36,23
BGS10538|36,23
BGS10539|42,44
BGS10539|42,44
BGS10539|42,44
BGS10540|22,77
BGS10541|54,86
BGS10542|54,86
BGS10543|60,03
BGS10545|26,91
BGS10546|26,91
BGS10547|26,39
BGS10547|26,39
BGS10548|31,05
BGS10548|31,05
BGS10549|25,36
BGS10550|28,46
BGS10551|21,74
BGS10552|26,39
BGS10552|26,39
BGS10553|32,60
BGS10554|96,26
BGS10555|26,39
BGS10555|26,39
BGS10556|30,02
BGS10556|30,02
BGS10557|30,02
BGS10558|43,99
BGS10559|37,26
BGS10559|37,26
BGS10560|25,36
BGS10560|25,36
BGS10561|28,98
BGS10563|35,19
BGS10563|35,19
BGS10564|61,07
BGS10565|28,98
BGS10566|41,40
BGS10567|30,02
BGS10569|24,32
BGS10573|32,60
BGS10574|27,95
BGS10575|26,91
BGS10576|56,93
BGS10577|56,93
BGS10578|94,19
BGS10579|102,47
BGS10579|102,47
BGS10582|23,81
BGS10582|23,81
BGS10583|19,15
BGS10583|19,15
BGS10584|46,58
BGS10584|46,58
BGS10584|46,58
BGS10586|23,81
BGS10586|23,81
BGS10587|23,81
BGS10587|23,81
BGS10588|28,98
BGS10589|21,22
BGS10589|21,22
BGS10590|21,22
BGS10590|21,22
BGS10591|53,82
BGS10593|63,14
BGS10594|63,14
BGS10595|71,42
BGS10601|71,42
BGS10602|75,56
BGS10603|75,56
BGS10604|21,74
BGS10605|21,74
BGS10606|86,94
BGS10606|86,94
BGS10607|46,58
BGS10608|71,42
BGS10609|71,42
BGS10610|25,36
BGS10610|25,36
BGS10611|21,74
BGS10612|18,63
BGS10614|20,18
BGS10616|21,74
BGS10617|28,46
BGS10618|34,16
BGS10618|34,16
BGS10622|33,12
BGS10622|33,12
BGS10624|36,23
BGS10625|28,46
BGS10626|24,84
BGS10628|21,74
BGS10629|36,23
BGS10630|19,67
BGS10631|22,25
BGS10633|72,45
BGS10634|72,45
BGS10634|72,45
BGS10635|72,45
BGS10635|72,45
BGS10636|23,29
BGS10636|23,29
BGS10637|23,29
BGS10637|23,29
BGS10638|30,53
BGS10638|30,53
BGS10639|30,53
BGS10639|30,53
BGS10640|31,05
BGS10640|31,05
BGS10640|31,05
BGS10640|31,05
BGS10641|34,67
BGS10641|34,67
BGS10642|32,60
BGS10642|32,60
BGS10643|17,60
BGS10643|17,60
BGS10644|24,84
BGS10644|24,84
BGS10645|20,18
BGS10645|20,18
BGS10646|77,63
BGS10647|77,63
BGS10649|27,95
BGS10650|27,95
BGS10651|19,67
BGS10652|21,22
BGS10653|21,22
BGS10653|21,22
BGS10653|21,22
BGS10654|20,18
BGS10655|27,95
BGS10655|27,95
BGS10656|18,11
BGS10657|19,67
BGS10658|21,74
BGS10659|20,18
BGS10660|20,18
BGS10661|21,22
BGS10663|23,29
BGS10664|20,70
BGS10665|28,46
BGS10666|28,98
BGS10667|34,16
BGS10668|21,22
BGS10670|29,50
BGS10670|29,50
BGS10674|22,25
BGS10675|18,63
BGS10676|17,60
BGS10677|28,46
BGS10677|28,46
BGS10678|46,58
BGS10679|31,05
BGS10680|46,58
BGS10680|46,58
BGS10681|46,58
BGS10682|50,72
BGS10683|52,79
BGS10684|52,79
BGS10685|32,60
BGS10686|47,09
BGS10688|28,98
BGS10689|25,88
BGS10692|71,42
BGS10693|71,42
BGS10694|71,42
BGS10695|71,42
BGS10696|20,70
BGS10697|32,09
BGS10698|17,08
BGS10698|17,08
BGS10699|17,60
BGS10699|17,60
BGS10704|40,88
BGS10704|40,88
BGS10705|30,53
BGS10705|30,53
BGS10706|30,53
BGS10706|30,53
BGS10710|22,25
BGS10711|21,74
BGS10711|21,74
BGS10712|21,74
BGS10713|24,32
BGS10713|24,32
BGS10713|24,32
BGS10715|53,30
BGS10715|53,30
BGS10719|20,18
BGS10724|25,88
BGS10724|25,88
BGS10725|25,88
BGS10726|25,88
BGS10729|22,77
BGS10730|30,53
BGS10731|30,53
BGS10732|62,10
BGS10733|62,10
BGS10734|38,81
BGS10735|101,43
BGS10736|52,79
BGS10737|31,05
BGS10738|20,70
BGS10739|20,70
BGS10739|20,70
BGS10739|20,70
BGS10740|20,70
BGS10741|41,40
BGS10741|41,40
BGS10742|21,74
BGS10743|21,74
BGS10744|22,77
BGS10745|22,25
BGS10746|23,29
BGS10746|23,29
BGS10747|20,70
BGS10748|24,32
BGS10748|24,32
BGS10749|21,74
BGS10750|19,15
BGS10751|22,77
BGS10752|23,29
BGS10752|23,29
BGS10753|23,29
BGS10753|23,29
BGS10754|23,81
BGS10754|23,81
BGS10755|20,18
BGS10755|20,18
BGS10756|27,95
BGS10757|22,77
BGS10758|20,70
BGS10759|21,22
BGS10760|21,74
BGS10761|28,46
BGS10761|28,46
BGS10762|30,53
BGS10763|39,33
BGS10764|28,98
BGS10765|22,25
BGS10766|100,91
BGS10767|61,07
BGS10767|61,07
BGS10768|24,32
BGS10768|24,32
BGS10769|24,32
BGS10770|22,25
BGS10771|22,25
BGS10774|19,67
BGS10775|16,56
BGS10776|31,05
BGS10777|25,88
BGS10778|32,09
BGS10779|30,02
BGS10780|25,62
BGS10780|25,62
BGS10781|22,25
BGS10781|22,25
BGS10783|23,29
BGS10784|27,95
BGS10784|27,95
BGS10785|22,77
BGS10785|22,77
BGS10786|31,52
BGS10788|22,25
BGS10788|22,25
BGS10789|21,74
BGS10790|26,39
BGS10791|22,77
BGS10792|30,02
BGS10793|26,91
BGS10794|22,77
BGS10795|24,50
BGS10796|24,50
BGS10797|21,74
BGS10798|24,32
BGS10799|23,29
BGS10799|23,29
BGS10800|22,77
BGS10800|22,77
BGS10801|29,50
BGS10801|29,50
BGS10801|29,50
BGS10802|33,64
BGS10802|33,64
BGS10803|32,00
BGS10803|32,00
BGS10804|56,93
BGS10805|82,80
BGS10805|82,80
BGS10806|63,14
BGS10806|63,14
BGS10807|63,14
BGS10807|63,14
BGS10809|27,95
BGS10810|20,18
BGS10810|20,18
BGS10811|25,88
BGS10812|25,88
BGS10813|25,88
BGS10814|27,43
BGS10815|35,19
BGS10816|53,82
BGS10817|49,68
BGS10818|35,45
BGS10818|35,45
BGS10818|35,45
BGS10819|30,02
BGS10819|30,02
BGS10820|41,66
BGS10821|30,53
BGS10822|21,74
BGS10823|35,71
BGS10824|26,91
BGS10825|26,39
BGS10826|19,67
BGS10826|19,67
BGS10827|19,67
BGS10827|19,67
BGS10828|22,25
BGS10828|22,25
BGS10829|27,50
BGS10829|27,50
BGS10830|21,22
BGS10831|21,22
BGS10832|25,88
BGS10832|25,88
BGS10833|25,88
BGS10833|25,88
BGS10833|25,88
BGS10834|25,88
BGS10835|22,77
BGS10835|22,77
BGS10836|24,84
BGS10837|22,77
BGS10838|21,74
BGS10839|24,84
BGS10840|23,81
BGS10841|46,58
BGS10841|46,58
BGS10842|59,51
BGS10842|59,51
BGS10843|23,81
BGS10844|49,16
BGS10845|62,10
BGS10846|62,10
BGS10847|66,76
BGS10848|66,76
BGS10849|45,02
BGS10850|67,28
BGS10851|53,82
BGS10852|53,82
BGS10853|63,65
BGS10854|60,03
BGS10855|60,03
BGS10856|85,91
BGS10857|53,82
BGS10858|50,72
BGS10859|50,72
BGS10860|82,80
BGS10861|82,80
BGS10862|64,17
BGS10863|64,17
BGS10864|61,07
BGS10865|61,07
BGS10866|61,07
BGS10867|61,07
BGS10868|102,47
BGS10869|102,47
BGS10870|102,47
BGS10871|102,47
BGS10872|102,47
BGS10872|102,47
BGS10872|102,47
BGS10872|102,47
BGS10873|102,47
BGS10873|102,47
BGS10873|102,47
BGS10874|55,89
BGS10875|55,89
BGS10876|52,79
BGS10877|52,79
BGS10878|68,31
BGS10879|68,31
BGS10880|62,10
BGS10881|62,10
BGS10882|64,17
BGS10883|64,17
BGS10884|70,38
BGS10885|70,38
BGS10886|56,93
BGS10886|56,93
BGS10887|71,42
BGS10888|71,42
BGS10889|71,42
BGS10890|71,42
BGS10891|67,28
BGS10892|66,24
BGS10893|66,24
BGS10894|66,24
BGS10895|70,38
BGS10896|70,38
BGS10897|61,07
BGS10898|61,07
BGS10899|64,17
BGS10899|64,17
BGS10900|64,17
BGS10900|64,17
BGS10901|61,07
BGS10902|61,07
BGS10903|77,63
BGS10904|77,63
BGS10905|52,79
BGS10906|52,79
BGS10907|77,63
BGS10908|77,63
BGS10909|77,63
BGS10909|77,63
BGS10910|77,63
BGS10910|77,63
BGS10911|53,82
BGS10912|66,24
BGS10913|66,24
BGS10914|36,23
BGS10914|36,23
BGS10915|26,39
BGS10916|25,88
BGS10917|27,95
BGS10918|36,23
BGS10919|26,39
BGS10920|23,29
BGS10921|25,88
BGS10922|27,50
BGS10922|27,50
BGS10922|27,50
BGS10923|23,29
BGS10924|25,88
BGS10925|26,65
BGS10926|20,71
BGS10927|41,40
BGS10928|14,18
BGS10929|14,18
BGS10930|45,54
BGS10930|45,54
BGS10931|23,29
BGS10931|23,29
BGS10932|14,80
BGS10933|21,74
BGS10934|20,70
BGS10935|22,25
BGS10936|23,58
BGS10937|23,81
BGS10937|23,81
BGS10937|23,81
BGS10937|23,81
BGS10938|22,25
BGS10939|23,81
